epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.95247,2.03137,3.07005,1.97426,0.00644,1,0.21864,0.0623,1.67217,2.97049,1.98094,3e-05,3e-05,0.09703
2,7.66702,1.51598,2.48339,1.57432,0.00574,1,0.21241,0.04399,2.24496,3.34031,2.42104,6.99733e-05,6.99733e-05,0.09307
3,11.3429,1.51307,2.18166,1.49046,0.02869,0.6,0.068,0.01692,2.9251,3.76998,3.06639,0.000109832,0.000109832,0.0891098
4,15.0617,1.41916,1.91375,1.36838,0.00507,0.93333,0.05263,0.01339,3.01877,3.24141,3.25993,0.000149485,0.000149485,0.0851495
5,18.6677,1.45654,1.67465,1.35705,0.0055,1,0.05115,0.01762,2.7826,3.10044,3.08495,0.000188842,0.000188842,0.0811888
6,22.2836,1.37028,1.52501,1.37992,0.00572,1,0.08755,0.05004,2.11183,3.10152,2.40682,0.000227812,0.000227812,0.0772278
7,25.8885,1.40173,1.41126,1.31748,0.0056,1,0.24063,0.12321,1.68668,2.74708,1.88303,0.000266307,0.000266307,0.0732663
8,29.5252,1.39866,1.32064,1.41658,0.41704,0.46667,0.52968,0.23256,1.58752,2.39837,1.66847,0.000304239,0.000304239,0.0693042
9,33.1137,1.46537,1.33572,1.43064,0.56784,0.52608,0.68659,0.36537,1.58694,2.05657,1.60855,0.000341521,0.000341521,0.0653415
10,36.691,1.47721,1.34434,1.43468,0.45241,0.66667,0.53804,0.14109,2.19453,2.12904,2.07009,0.000378068,0.000378068,0.0613781
11,40.3323,1.47914,1.40579,1.46831,0.85149,0.76568,0.87363,0.3419,1.76808,1.60058,1.58602,0.000413798,0.000413798,0.0574138
12,43.9198,1.45714,1.31624,1.45108,0.62867,0.93333,0.72167,0.40621,1.24405,1.53861,1.31457,0.00044863,0.00044863,0.0534486
13,47.5263,1.40664,1.30181,1.43673,0.59461,0.86667,0.69671,0.41074,1.21509,1.41833,1.36143,0.000482485,0.000482485,0.0494825
14,51.1007,1.45241,1.29366,1.44492,0.77829,0.8,0.84427,0.50559,1.17942,1.18446,1.34577,0.000515287,0.000515287,0.0455153
15,54.6886,1.37078,1.28596,1.42519,0.73887,0.66667,0.86005,0.441,1.52105,1.90253,1.65869,0.000546964,0.000546964,0.041547
16,58.2307,1.50385,1.30058,1.45546,0.78173,0.73333,0.88331,0.39056,1.71264,2.31185,1.70023,0.000577444,0.000577444,0.0375774
17,61.7483,1.35301,1.20705,1.36931,0.72511,0.87985,0.85558,0.35099,1.715,2.26864,1.58696,0.00060666,0.00060666,0.0336067
18,65.3751,1.45904,1.26746,1.4305,0.75713,0.93333,0.9099,0.58906,1.23215,1.23208,1.18896,0.00063455,0.00063455,0.0296345
19,68.8326,1.34658,1.13796,1.32291,0.76546,0.93333,0.87722,0.56712,1.08184,1.17261,1.14602,0.000661051,0.000661051,0.0256611
20,72.3473,1.41715,1.19996,1.44283,0.70412,0.8,0.7968,0.4826,1.17543,1.22615,1.19685,0.000686107,0.000686107,0.0216861
