                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7244,                 3.2666,                 1.8473,                0.00344,                0.91414,                0.12245,                0.04444,                 2.7236,                 3.7615,                 3.3388,                0.09208,                  8e-05,                  8e-05
                      2,                 1.5429,                 2.4544,                 1.6503,                0.00402,                 0.7702,                 0.1994,                0.04893,                 2.7385,                  3.643,                 3.9661,                0.08317,             0.00016983,             0.00016983
                      3,                 1.5099,                 1.9012,                 1.5896,                0.00414,                0.55051,                0.22932,                0.08059,                 2.5433,                 3.3816,                 3.7045,               0.074259,             0.00025899,             0.00025899
                      4,                 1.4567,                 1.7657,                 1.5819,                0.33789,                0.60606,                0.43985,                0.14954,                 2.4413,                 3.1859,                 3.4885,               0.065347,             0.00034693,             0.00034693
                      5,                 1.4665,                 1.5149,                 1.5949,                0.17269,                0.80051,                0.59119,                0.25644,                  2.456,                 2.5414,                 3.4888,               0.056433,             0.00043316,             0.00043316
                      6,                   1.49,                 1.4726,                 1.7068,                 0.7549,                 0.2096,                0.55479,                0.18671,                 2.3834,                 2.5774,                 3.1833,               0.047517,             0.00051716,             0.00051716
                      7,                 1.4143,                 1.4572,                 1.5543,                0.70686,                0.40618,                0.71859,                0.33103,                  2.118,                 2.2406,                 2.3764,               0.038598,             0.00059845,             0.00059845
                      8,                 1.3857,                 1.4451,                 1.5558,                0.90085,                0.60606,                0.87777,                0.37715,                 2.2203,                 2.4621,                 2.8251,               0.029677,             0.00067655,             0.00067655
                      9,                 1.4292,                 1.5282,                 1.6344,                0.58296,                0.76573,                0.68142,                0.22417,                 2.7655,                 2.7427,                 3.6771,               0.020751,             0.00075102,             0.00075102
                     10,                 1.5068,                 1.4038,                 1.5863,                0.71751,                0.73485,                0.73343,                0.31098,                 2.4074,                 2.4539,                 2.9454,               0.011821,             0.00082142,             0.00082142
                     11,                 1.4294,                 1.3697,                 1.5741,                0.57489,                0.80922,                0.77979,                0.45269,                 2.0623,                 3.4948,                 2.7044,              0.0028874,             0.00088735,             0.00088735
                     12,                  1.468,                 1.3124,                  1.612,                0.57768,                0.93939,                0.84562,                 0.3692,                 1.7899,                 2.3281,                 2.4929,              0.0008864,              0.0008864,              0.0008864
                     13,                 1.4561,                 1.3705,                 1.6139,                0.78211,                0.88225,                0.88262,                0.42695,                 1.5368,                 1.5094,                 1.9754,             0.00086584,             0.00086584,             0.00086584
                     14,                  1.428,                 1.3014,                 1.5756,                0.82407,                0.89432,                0.93754,                0.47649,                 1.5666,                 1.3159,                 2.0306,             0.00084385,             0.00084385,             0.00084385
                     15,                 1.4214,                 1.2065,                 1.5095,                0.74556,                0.90526,                0.87432,                0.45148,                 1.8276,                  1.356,                 2.1213,             0.00082052,             0.00082052,             0.00082052
                     16,                  1.357,                 1.2235,                 1.5207,                0.80275,                0.88889,                0.91229,                0.51233,                 1.6824,                 1.6075,                 1.9459,             0.00079595,             0.00079595,             0.00079595
                     17,                 1.3704,                 1.1883,                 1.4981,                0.94588,                0.88068,                0.95927,                0.49971,                 1.6868,                 1.2318,                 1.9755,             0.00077023,             0.00077023,             0.00077023
                     18,                 1.3457,                 1.2055,                 1.5058,                0.86735,                0.93864,                 0.9608,                0.47769,                 2.1098,                 1.1173,                 2.5358,             0.00074347,             0.00074347,             0.00074347
                     19,                 1.3203,                 1.1725,                 1.5106,                0.87095,                0.93939,                0.97731,                0.45144,                 2.3863,                 1.2899,                 3.1059,             0.00071576,             0.00071576,             0.00071576
                     20,                 1.2748,                 1.1019,                 1.4623,                0.94647,                 0.9697,                  0.987,                0.48625,                 2.1852,                 1.1517,                 2.7161,             0.00068722,             0.00068722,             0.00068722
                     21,                 1.3009,                 1.0596,                 1.4486,                0.92031,                 0.9697,                 0.9925,                 0.5125,                 1.9347,                 1.0667,                 2.1667,             0.00065796,             0.00065796,             0.00065796
                     22,                 1.3703,                 1.1849,                 1.5421,                0.90567,                0.91886,                0.98493,                0.50312,                 1.9265,                 1.2361,                 2.0801,              0.0006281,              0.0006281,              0.0006281
                     23,                 1.2824,                   1.09,                 1.4569,                0.90436,                 0.9525,                0.95827,                0.47297,                 2.0708,                 1.2678,                 2.1923,             0.00059775,             0.00059775,             0.00059775
                     24,                 1.2817,                 1.0362,                 1.5057,                 0.9134,                0.93939,                0.90892,                0.42571,                 2.3117,                  1.309,                 2.5286,             0.00056704,             0.00056704,             0.00056704
                     25,                 1.3258,                 1.1267,                 1.4635,                0.87849,                0.87879,                0.84675,                 0.4076,                 2.4822,                 1.3224,                 3.0627,             0.00053608,             0.00053608,             0.00053608
                     26,                 1.3329,                 1.0426,                 1.5098,                0.83212,                0.90407,                0.85824,                0.43974,                 2.2735,                 1.3611,                 2.8158,               0.000505,               0.000505,               0.000505
                     27,                 1.3218,                 1.1562,                 1.5262,                0.91248,                0.93939,                0.95406,                0.49248,                 2.1166,                 1.1489,                 2.5833,             0.00047392,             0.00047392,             0.00047392
                     28,                 1.3672,                 1.1389,                 1.4935,                0.92571,                      1,                 0.9875,                0.52771,                 1.8765,                 1.0798,                 2.0015,             0.00044296,             0.00044296,             0.00044296
                     29,                 1.2379,                 1.0002,                  1.405,                 0.9261,                      1,                  0.985,                0.57258,                 1.5476,                0.99672,                 1.6966,             0.00041225,             0.00041225,             0.00041225
